pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,hour,day
-73.960912,40.812393,-73.953447,40.823576,1,22,5
-73.96493199999999,40.801472,-73.96305699999999,40.804115,1,19,6
-73.985787,40.767932,-73.87234000000001,40.77447,1,4,2
-73.99446868896483,40.72821044921875,-73.99127197265625,40.73992919921875,1,14,2
-73.985867,40.774592,-73.972513,40.764865,1,21,4
-73.9821,40.76201,-73.776413,40.645192,1,12,4
-73.959975,40.776728000000006,-73.979275,40.760683,1,9,2
-73.97058100000001,40.765025,-73.975045,40.792848,1,7,3
-73.98945,40.748248,-73.987848,40.775428000000005,5,14,4
-74.009002,40.73058,-73.961623,40.777168,1,6,2
-73.968863,40.764412,-73.977386,40.75376,1,22,1
-74.002542,40.718582,-73.992372,40.743252000000005,1,18,2
-73.97489200000001,40.787690000000005,-73.975352,40.755142,1,8,0
-73.980882,40.753902,-73.989712,40.75648,3,16,0
-73.95569499999999,40.779321,-73.996814,40.742372,1,11,1
-74.00842,40.734645,-74.00364,40.72648,1,19,4
-73.870805,40.773809,-73.940359,40.826383,2,18,3
-74.000132,40.726945,-73.991309,40.717734,1,18,1
-73.970644,40.646496,-74.01085,40.640864,1,23,3
-73.967473,40.763951,-73.861954,40.768561,1,10,1
-73.98867800000001,40.750077000000005,-73.951806,40.682232,1,1,5
-73.986465,40.755052,-73.996115,40.744817,3,18,6
-73.78408,40.648592,-73.982535,40.756057,1,21,2
-73.99221,40.70148,-73.976605,40.754625,1,15,0
-73.78751199999999,40.647382,-73.787547,40.647405,1,21,6
-73.977345,40.779305,-73.983393,40.775563,1,22,5
-73.960897,40.768742,-74.002718,40.714225,1,8,1
0.0,0.0,0.0,0.0,1,22,0
-73.96003723144531,40.78062438964844,-73.97175598144531,40.76593399047852,1,16,0
-73.862739,40.768941,-73.992809,40.75291,1,17,2
-73.97036,40.759121,-73.988055,40.73225,1,2,6
-73.98755899999999,40.760245,-73.992703,40.737193,2,22,2
-73.963735,40.761947,-73.992315,40.74678,1,9,3
-74.014572,40.716497,-73.994835,40.750237,5,19,1
-73.97574200000001,40.776698,-73.982652,40.759795,1,16,4
-73.998716,40.744311,-73.922679,40.745378,1,3,1
